id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,year,popularity,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2022,78,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2021,62,0.85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2020,55,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2022,45,0.90
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2023,72,0.03
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2021,38,0.95
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2019,50,0.30
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2022,58,0.70
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2023,55,0.92
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2021,60,0.08
11,Habanera Dreams,Trio Caliente,latin,energetic,0.87,140,0.88,0.91,0.30,2022,68,0.15
12,Hollow Mountains,Grey Ember,folk,melancholic,0.33,68,0.28,0.43,0.94,2020,35,0.20
13,Binary Sunset,Datawave,electronic,focused,0.78,128,0.62,0.85,0.08,2023,52,0.88
14,Blue Velvet Hours,Mara Quinn,soul,relaxed,0.48,88,0.74,0.55,0.60,2021,57,0.12
15,Pixel Parade,Chroma Kids,hyperpop,happy,0.95,160,0.90,0.93,0.04,2023,75,0.04
16,Desert Frequency,Sable Drift,ambient,moody,0.22,55,0.34,0.32,0.97,2020,30,0.98
17,Iron & Rust,The Ironworks,metal,intense,0.96,168,0.35,0.58,0.06,2019,48,0.25
18,Sunday Stroll,Breezy Pines,acoustic,relaxed,0.41,94,0.78,0.50,0.95,2021,42,0.35
19,Club After Dark,DJ Velour,hip-hop,energetic,0.88,102,0.66,0.92,0.12,2022,70,0.06
20,Celeste,Aurora Vale,classical,melancholic,0.30,72,0.45,0.28,0.88,2020,40,0.80
21,Voltage Drop,SynthStorm,edm,energetic,0.94,138,0.72,0.90,0.04,2022,74,0.45
22,Neon Horizon,Pulse Unit,edm,intense,0.96,145,0.65,0.88,0.03,2023,68,0.60
23,Deep Drop,Circuit Ghost,edm,chill,0.55,120,0.58,0.80,0.10,2021,52,0.75
24,Velvet Smoke,Jade Monroe,r&b,relaxed,0.55,88,0.76,0.72,0.35,2022,66,0.08
25,Golden Hour,Ray Summers,r&b,happy,0.70,98,0.85,0.80,0.28,2023,71,0.05
26,Midnight Blue,Lena Voss,r&b,moody,0.48,82,0.42,0.65,0.40,2021,58,0.10
27,Dusty Roads,The Pines,country,relaxed,0.45,96,0.72,0.58,0.82,2020,44,0.15
28,Campfire Sky,Hank Dillon,country,chill,0.38,88,0.78,0.52,0.90,2021,38,0.20
29,Rodeo Heart,Sierra Blaze,country,energetic,0.78,116,0.80,0.74,0.55,2022,54,0.08
